32 2 12.5
No      x       y       s
1       10.5    14.4    0
2       18      15.9    10
3       18.3    13.3    10
4       16.5    9.3     10
5       15.4    11      10
6       14.9    13.2    5
7       16.3    13.3    5
8       16.4    17.8    5
9       15      17.9    5
10      16.1    19.6    10
11      15.7    20.6    10
12      13.2    20.1    10
13      14.3    15.3    5
14      14      5.1     10
15      11.4    6.7     15
16      8.3     5       15
17      7.9     9.8     10
18      11.4    12.000  5
19      11.2    17.6    5
20      10.1    18.7    5
21      11.7    20.3    10
22      10.2    22.1    10
23      9.7     23.8    10
24      10.1    26.4    15
25      7.4     24      15
26      8.2     19.9    15
27      8.7     17.7    10
28      8.9     13.6    10
29      5.6     11.1    10
30      4.9     18.9    10
31      7.3     18.8    10
32      11.2    14.1    0
