102 4 10.0
No        x            y         s
 1      35.000   35.000   0      
 2      15.000   30.000  26    
 3      55.000   5.000    29      
 4      31.000   52.000  27    
 5      60.000   12.000  31    
 6      8.000     56.000  27      
 7      13.000   52.000  36    
 8      6.000     68.000  30      
 9      21.000   24.000  28    
 10    56.000   39.000  36  
 11    55.000   54.000  26  
 12   16.000    22.000  41  
 13    4.000     18.000  35    
 14    28.000   18.000  26  
 15    26.000   27.000  27  
 16    55.000   45.000  13  
 17    55.000   20.000  19  
 18    55.000   60.000  16  
 19    30.000   60.000  16  
 20    20.000   65.000  12  
 21    50.000   35.000  19  
 22    30.000   25.000  23  
 23    15.000   10.000  20  
 24    10.000   20.000  19  
 25    20.000   40.000  12  
 26    15.000   60.000  17  
 27    45.000   20.000  11  
 28    45.000   10.000  18  
 29    45.000   30.000  17  
 30    35.000   40.000  16  
 31    41.000   37.000  16  
 32    40.000   60.000  21  
 33    35.000   69.000  23  
 34    53.000   52.000  11  
 35    65.000   55.000  14  
 36    5.000     5.000    16      
 37    11.000   4.000    18  
 38    6.000    38.000   16    
 39    47.000  47.000   13  
 40    37.000  31.000   14  
 41    57.000  29.000   18
 42    36.000  26.000   18
 43    12.000  24.000   13
 44    24.000  58.000   19
 45    62.000  77.000   20
 46    49.000  73.000   25
 47    67.000  5.000     25
 48    57.000  68.000   15
 49    47.000  16.000   25
 50    49.000  11.000   18
 51    49.000  42.000   13
 52    53.000  43.000   14
 53    57.000  48.000   23
 54    15.000  47.000   16
 55    14.000  37.000   11
 56    26.000  35.000   15
 57    18.000  24.000   22
 58    25.000  24.000   20
 59    22.000  27.000   11
 60    25.000  21.000   12
 61    18.000  18.000   17
 62    41.000  49.000   10
 63    35.000 17.000   7
 64    25.000  30.000   3
 65    20.000  50.000   5
 66    10.000  43.000   9
 67    30.000  5.000     8
 68    5.000    30.000   2
 69    45.000  65.000   9
 70    65.000  35.000   3
 71    65.000  20.000   6
 72    64.000  42.000   9
 73    63.000  65.000   8
 74    2.000    60.000   5
 75    20.000  20.000   8
 76    40.000  25.000   9
 77    42.000  7.000     5
 78    24.000  12.000   5
 79    23.000  3.000     7
 80    2.000    48.000   1
 81    49.000  58.000   10  
 82    27.000  43.000   9    
 83    63.000  23.000   2    
 84    53.000  12.000   6    
 85    32.000  12.000   7    
 86    17.000  34.000   3    
 87    27.000  69.000   10    
 88    15.000  77.000   9    
 89    37.000  47.000   6    
 90    37.000  56.000   5    
 91    44.000  17.000   9    
 92    46.000  13.000   8
 93    61.000  52.000   3
 94    56.000  37.000   6 
 95    11.000  31.000   7
 96    26.000  52.000   9
 97    31.000  67.000   3
 98    15.000  19.000   1
 99    22.000  22.000   2
 100 19.000   21.000   10
 101 20.000   26.000   9
 102 35.000   35.000   0
