100 2 35.0
No   x           y           s
 1    18.190  6.320    0      
 2    15.520  28.030  7    
 3    9.000    28.010  5      
 4    16.930  2.090    24    
 5    8.640    19.850  3      
 6    18.430  29.930  23  
 7    3.940    10.770  3      
 8    14.780  7.610    26    
 9    2.410    25.060  24    
 10 18.410   11.880  16
 11  14.910  17.240   21
 12  7.140    0.480     6        
 13  13.440  24.760   17
 14  17.540  29.430   27
 15  16.710  9.500     27  
 16  12.380  26.660   1  
 17  25.690  6.340     6     
 18  11.620  24.000   27
 19  10.240  3.020     23  
 20  3.540    26.160   18    
 21  17.860  19.360   13
 22  3.770     7.840    1      
 23  14.200  19.640   13
 24  15.880  5.540     21  
 25  1.320    19.320   23  
 26  20.500   25.330  16
 27  16.760   19.840  8  
 28  27.500   17.660  24
 29  19.410   20.670  15
 30  20.490   14.030  24
 31  20.900    7.670   8    
 32  2.750     25.400  5    
 33  16.100   19.740  3  
 34  0.430     1.120 9 74    
 35  13.570   9.410    11  
 36  0.300     9.160     7        
 37  0.450     23.350  10    
 38  22.690   23.130 13
 39  19.120   20.200 13
 40  7.000     21.440  8  
 41  28.880   0.860    24
 42  19.600   2.110   14
 43  22.780   15.420  27
 44  13.510    8.050  1
 45  0.510     11.060  5
 46  4.310     23.120  20
 47  19.680   25.620  5
 48  16.320   3.730    3
 49  7.140     25.900  13
 50  1.040     13.470  6
 51  17.460   2.560    28
 52  23.400   17.750  5
 53  11.960   13.150  17
 54  22.850   14.850  2
 55  28.470   6.080    23
 56  6.520     19.420 17
 57  26.850   25.820  6
 58  21.480   10.300  21
 59  29.080   2.620   18
 60  22.540   18.260 14
 61  4.460      7.850   7
 62  21.610    23.160  4
 63  6.820      21.100 13
 64  6.480      2.460   25
 65  26.700    3.440   27
 66  7.030      28.120 1
 67  20.300    3.860   2
 68  17.020    12.330 17
 69  0.200      24.800  3
 70  13.970    18.490  4
 71  1.380      3.330   13
 72  14.250    23.830  1
 73  27.220    11.980 16
 74  22.050    7.740   10
 75  3.080      21.030 13
 76  12.660    26.020  3
 77  3.690      14.330 21
 78  26.930    13.060 24
 79  1.570      19.840 19
 80  19.010    14.360 13
 81  14.240    18.800 19 
 82   20.490   13.590 8    
 83   3.300     17.860 1      
 84   28.720   20.920 29 
 85   7.490     6.590   24      
 86   12.190   16.110 1    
 87   17.520   0.970   10      
 88   10.350   6.180   11    
 89   13.610   21.120 17 
 90   0.260    14.370  13      
 91   12.580   26.640 16
 92   21.570   24.070 2
 93   14.500   0.300   22
 94   25.600   22.910 2
 95   10.920   4.130   8
 96   26.650   20.040 28
 97   18.630   4.300   24
 98   7.290    16.280 12
 99   4.340    9.510    5
 100 2.380    18.260  0
