33 3 26.7
 No x        y     s 
 1  19.100  24.300 0   
 2  12.600  24.900 20  
 3  14.400  28.000 20  
 4  16.900  28.100 20  
 5  20.700  28.200 20  
 6  12.500  26.600 20  
 7  21.800  27.300 20  
 8  12.500  22.600 20  
 9  22.500  17.000 30  
 10 19.900  15.000 30 
 11 14.900  15.100 30 
 12 11.500  18.600 30 
 13 12.400  29.800 30 
 14 17.800  28.100 30 
 15 9.100   29.800 40  
 16 10.000  32.600 40 
 17 13.900  33.100 40
 18 19.950  10.300 40
 19 15.200  8.000  40
 20 14.700  31.200 50
 21 7.400   36.500 50
 22 21.000  25.500 50
 23 18.000  25.300 10
 24 19.500  24.700 10
 25 21.400  21.800 10
 26 16.000  21.400 10
 27 18.650  26.200 10
 28 17.900  28.900 10
 29 14.300  19.900 20
 30 17.000  19.000 20
 31 10.800  21.000 20
 32 15.700  23.700 10
 33 18.200  24.000 0
