66 3 25.0
 No     x     y     s 
 1  -0.500  0.000   0    
 2  -7.000  -7.000 35  
 3  -7.000  -5.000 35  
 4  -7.000  -3.000 35  
 5  -7.000  -1.000 35  
 6  -7.000  1.000  35   
 7  -7.000  3.000  35   
 8  -7.000  5.000  35   
 9  -7.000  7.000  35   
 10 -5.000  -7.000 35 
 11 -5.000  -5.000 25 
 12 -5.000  -3.000 25 
 13 -5.000  -1.000 25 
 14 -5.000  1.000  25  
 15 -5.000  3.000  25  
 16 -5.000  5.000  25  
 17 -5.000  7.000  35  
 18 -3.000  -7.000 35 
 19 -3.000  -5.000 25 
 20 -3.000  -3.000 15 
 21 -3.000  -1.000 15 
 22 -3.000  1.000  15   
 23 -3.000  3.000  15  
 24 -3.000  5.000  25  
 25 -3.000  7.000  35  
 26 -1.000  -7.000 35 
 27 -1.000  -5.000 25 
 28 -1.000  -3.000 15 
 29 -1.000  -1.000 5  
 30 -1.000  1.000  5   
 31 -1.000  3.000  15  
 32 -1.000  5.000  25  
 33 -1.000  7.000  35  
 34 1.000  -7.000  35
 35 1.000  -5.000  25
 36 1.000  -3.000  15
 37 1.000  -1.000  5
 38 1.000  1.000   5
 39 1.000  3.000   15
 40 1.000  5.000   25
 41 1.000  7.000   35
 42 3.000  -7.000  35
 43 3.000  -5.000  25
 44 3.000  -3.000  15
 45 3.000  -1.000  13
 46 3.000  1.000   15
 47 3.000  3.000   15
 48 3.000  5.000   25
 49 3.000  7.000   35
 50 5.000  -7.000  35
 51 5.000  -5.000  25
 52 5.000  -3.000  25
 53 5.000  -1.000  25
 54 5.000  1.000   25
 55 5.000  3.000   25
 56 5.000  5.000   25
 57 3.000  7.000   35
 58 7.000  -7.000  35
 59 7.000  -3.000  35
 60 7.000  -3.000  35
 61 7.000  -1.000  35
 62 7.000  1.000   35
 63 7.000  3.000   35
 64 7.000  5.000   35
 65 7.000  7.000   35
 66 0.500  0.000   0
