64 2 7.5
 No   x         y   s 
 1   0.000   -7.000 0    
 2   -1.000  -6.000 6   
 3   1.000   -6.000 6    
 4   -2.000  -5.000 12  
 5   0.000   -5.000 6    
 6   2.000   -5.000 12   
 7   -3.000  -4.000 18  
 8   -1.000  -4.000 12  
 9   1.000   -4.000 12   
 10  3.000   -4.000 18  
 11  -4.000  -3.000 24 
 12  -2.000  -3.000 18 
 13  0.000   -3.000 12  
 14  2.000   -3.000 18  
 15  4.000   -3.000 24  
 16  -5.000  -2.000 30 
 17  -3.000  -2.000 24 
 18  -1.000  -2.000 18 
 19  1.000   -2.000 18  
 20  3.000   -2.000 24  
 21  5.000   -2.000 30  
 22  -6.000  -1.000 36 
 23  -4.000  -1.000 30 
 24  -2.000  -1.000 24 
 25  0.000   -1.000 18  
 26  2.000   -1.000 24  
 27  4.000   -1.000 30  
 28  -6.000  -1.000 36    
 29  -7.000  0.000  42  
 30  -5.000  0.000  36  
 31  -3.000  0.000  30  
 32  -1.000  0.000  24  
 33  1.000   0.000  24
 34  3.000   0.000  30
 35  5.000   0.000  36
 36  7.000   0.000  42
 37  -6.00   1.000  36
 38  -4.000  1.000  30
 39  -2.000  1.000  24
 40  0.000   1.000  18
 41  2.000   1.000  24
 42  4.000   1.000  30
 43  6.000   1.000  36
 44  -5.000  2.000  30
 45  -3.000  2.000  24
 46  -1.000  2.000  18
 47  1.000   2.000  18
 48  3.000   2.000  24
 49  5.000   2.000  30
 50  -4.000  3.000  24
 51  -2.000  3.000  18
 52  0.000   3.000  12
 53  2.000   3.000  18
 54  4.000   3.000  24
 55  -3.000  4.000  18
 56  -1.000  4.000  12
 57  1.000   4.000  12
 58  3.000   4.000  18
 59  -2.000  5.000  12
 60  0.000   5.000  6
 61  2.000   5.000  12
 62  -1.000  6.000  6
 63  1.000   6.000  6
 64  0.000   7.000  0
