21 2 20.0
 NO   x      y      s
 1   4.600  7.100  0   
 2   5.700  11.400 20 
 3   4.400  12.300 20 
 4   2.800  14.300 30 
 5   3.200  10.300 15 
 6   3.500  9.800  15  
 7   4.400  8.400  10   
 8   7.800  11.000 20 
 9   8.800  9.800  20  
 10  7.700  8.200  20 
 11  6.300  7.900  15 
 12  5.400  8.200  10
 13  5.800  6.800  10
 14  6.700  5.800  25
 15  13.800 13.100 40
 16  14.100 14.200 40
 17  11.200 13.600 30
 18  9.700  16.400 30
 19  9.500  18.800 50
 20  4.700  16.800 30
 21  5.000  5.600  0
