 No     x     y    s  
 1   10.500 14.400 0  
 2   18.000 15.900 10 
 3   18.300 13.300 10 
 4   16.500 9.300  10 
 5   15.400 11.000 10 
 6   14.900 13.200 5  
 7   16.300 13.300 5  
 8   16.400 17.800 5  
 9   15.000 17.900 5  
 10  16.100 19.600 10 
 11  15.700 20.600 10 
 12  13.200 20.100 10 
 13  14.300 15.300 5  
 14  14.000 5.100  10 
 15  11.400 6.700  15 
 16  8.300  5.000  15 
 17  7.900  9.800  10
 18  11.400 12.000 5
 19  11.200 17.600 5
 20  10.100 18.700 5
 21  11.700 20.300 10
 22  10.200 22.100 10
 23  9.700  23.800 10
 24  10.100 26.400 15
 25  7.400  24.000 15
 26  8.200  19.900 15
 27  8.700  17.700 10
 28  8.900  13.600 10
 29  5.600  11.100 10
 30  4.900  18.900 10
 31  7.300  18.800 10
 32  11.200 14.100 0
